,koi_disposition,koi_score,koi_impact,koi_impact_err1,koi_impact_err2,koi_tce_plnt_num,koi_steff_err1,koi_steff_err2,ra,dec
191,1,1.0,0.06,0.4,-0.06,3.0,0.3860487338748208,0.6085271317829457,0.5304534283189994,0.3750751646420145
192,1,1.0,0.17,0.201,-0.17,1.0,0.27902532250358336,0.686046511627907,0.5536490321270584,0.37463337931716145
193,1,1.0,0.008,0.387,-0.008,2.0,0.27902532250358336,0.686046511627907,0.5536490321270584,0.37463337931716145
196,1,1.0,0.67,0.028,-0.073,1.0,0.4319159101767797,0.6821705426356589,0.4200623995461843,0.38582057959084937
197,1,1.0,0.429,0.031,-0.429,2.0,0.4319159101767797,0.6821705426356589,0.4200623995461843,0.38582057959084937
198,1,1.0,0.025,0.404,-0.025,1.0,0.2981366459627329,0.6976744186046512,0.5455987548035051,0.39170814845856183
199,1,1.0,0.567,0.045,-0.448,1.0,0.31342570473005255,0.6821705426356589,0.7560777614407321,0.38961406937418763
200,1,0.997,0.387,0.062,-0.387,2.0,0.31342570473005255,0.6821705426356589,0.7560777614407321,0.38961406937418763
203,1,1.0,0.327,0.084,-0.327,1.0,0.3248924988055423,0.6705426356589148,0.6235069029323324,0.39995553338840084
204,1,1.0,0.286,0.133,-0.286,2.0,0.3248924988055423,0.6705426356589148,0.6235069029323324,0.39995553338840084
205,1,0.998,0.706,0.04,-0.505,3.0,0.3248924988055423,0.6705426356589148,0.6235069029323324,0.39995553338840084
207,1,1.0,0.926,0.026,-0.538,1.0,0.5580506450071667,0.43410852713178294,0.8015612461466031,0.4009125962208242
208,1,1.0,0.833,0.021,-0.576,1.0,0.2713807931199235,0.7248062015503876,0.4724108589555076,0.23734447648951118
209,1,1.0,0.537,0.02,-0.478,1.0,0.2904921165790731,0.6744186046511628,0.4724336801061515,0.4344564641720168
211,1,1.0,0.899,0.013,-0.655,1.0,0.7224080267558528,0.2674418604651163,0.5922368034367729,0.43333558035041797
213,1,1.0,0.731,0.139,-0.492,2.0,0.3898709985666507,0.6046511627906976,0.6827846088571228,0.40701609638845415
216,1,1.0,0.049,0.273,-0.049,1.0,0.5809842331581462,0.41085271317829464,0.390896969025178,0.4136758453153435
217,1,1.0,0.0,0.304,0.0,1.0,0.3210702341137124,0.7093023255813953,0.19714679728437545,0.5006597331785643
219,1,1.0,0.252,0.22,-0.252,3.0,0.5809842331581462,0.41085271317829464,0.390896969025178,0.4136758453153435
220,1,1.0,0.192,0.096,-0.192,1.0,0.28284758719541325,0.6434108527131783,0.6764598899647964,0.41476478436414066
221,1,1.0,0.014,0.518,-0.014,2.0,0.28284758719541325,0.6434108527131783,0.6764598899647964,0.41476478436414066
222,1,0.9875,0.228,0.176,-0.228,3.0,0.28284758719541325,0.6434108527131783,0.6764598899647964,0.41476478436414066
223,1,1.0,0.712,0.175,-0.477,1.0,0.6000955566172957,0.2558139534883721,0.7173311735520578,0.41307023900131545
225,1,0.999,0.069,0.087,-0.069,1.0,0.40516005733397037,0.627906976744186,0.507102268096359,0.0
226,1,1.0,0.018,0.154,-0.018,1.0,0.6650740563784042,0.1589147286821706,0.11410901337645463,0.42862062150956115
227,1,1.0,0.862,0.028,-0.586,1.0,0.6918299092212136,0.1589147286821706,0.15748084304124887,0.4354486726562796
228,1,0.9875,0.075,0.106,-0.043,1.0,0.23315814620162445,0.6434108527131783,0.8012687628281654,0.2838289222339392
231,1,1.0,0.344,0.076,-0.181,1.0,0.5580506450071667,0.26356589147286824,0.7119584226579576,0.4677808158387684
232,1,1.0,0.69,0.009,-0.509,1.0,0.34400382226469184,0.6511627906976745,0.22909081933054054,0.4768719524830787
233,1,0.997,0.063,0.402,-0.063,3.0,0.34400382226469184,0.6511627906976745,0.22909081933054054,0.4768719524830787
236,1,1.0,0.043,0.343,-0.043,1.0,0.39369326325848064,0.6007751937984496,0.5967008999450893,0.4483777913025584
237,1,1.0,0.03,0.383,-0.03,2.0,0.39369326325848064,0.6007751937984496,0.5967008999450893,0.4483777913025584
238,1,1.0,0.437,0.03,-0.054,1.0,0.26755852842809363,0.6589147286821706,0.8994532704338969,0.4433971595015307
239,1,1.0,0.09,0.318,-0.09,1.0,0.2981366459627329,0.6666666666666667,0.09235859386315859,0.453772552833549
240,1,1.0,0.351,0.067,-0.351,2.0,0.2981366459627329,0.6666666666666667,0.09235859386315859,0.453772552833549
241,1,1.0,0.02,0.378,-0.02,2.0,0.2713807931199235,0.7248062015503876,0.4724108589555076,0.23734447648951118
242,1,1.0,0.886,0.014,-0.638,3.0,0.2981366459627329,0.6666666666666667,0.09235859386315859,0.453772552833549
243,1,0.999,0.334,0.117,-0.334,1.0,0.2713807931199235,0.6550387596899225,0.7794400993698112,0.4533173878343164
244,1,0.999,0.001,0.43,-0.001,2.0,0.2713807931199235,0.6550387596899225,0.7794400993698112,0.4533173878343164
245,1,0.998,0.115,0.32,-0.115,3.0,0.2713807931199235,0.6550387596899225,0.7794400993698112,0.4533173878343164
247,1,1.0,0.93,0.004,-0.667,1.0,0.6192068800764453,0.1589147286821706,0.4663818835459974,0.5108006941298244
